Employee_number,Deduction_Code,Rate
290891,ER DENTAL,13.62
290891,ER HEALTH,21.36
290891,TXB LIFE,3.92
290891,TXB LTD,37.04
290902,ER DENTAL,13.62
290902,ER HEALTH,21.36
290902,TXB LIFE,3.92
290902,TXB LTD,32.81
290972,ER DENTAL,5.42
290972,ER HEALTH,9.5
290972,TXB LIFE,0.78
290972,TXB LTD,26.75
291112,ER DENTAL,5.42
291112,ER HEALTH,9.5
291112,TXB LIFE,0.78
291112,TXB LTD,17.72
291312,ER DENTAL,13.62
291312,ER HEALTH,21.36
291312,TXB LIFE,3.92
291312,TXB LTD,27.68
291516,ER DENTAL,5.42
291516,ER HEALTH,9.5
291516,TXB LIFE,0.78
291516,TXB LTD,14.98
291647,ER DENTAL,5.42
291647,ER HEALTH,9.5
291647,TXB LIFE,0.39
291665,ER DENTAL,13.62
291665,ER HEALTH,21.36
291665,TXB LIFE,0.39
291871,ER DENTAL,13.62
291871,ER HEALTH,21.36
291871,TXB LIFE,3.92
291871,TXB LTD,37.04
291958,ER DENTAL,13.62
291958,ER HEALTH,21.36
291958,TXB LIFE,0.78
291958,TXB LTD,23.09
292139,ER DENTAL,5.42
292139,ER HEALTH,9.5
292139,TXB LIFE,0.78
292139,TXB LTD,14.12
292281,ER DENTAL,13.62
292281,ER HEALTH,21.36
292281,TXB LIFE,0.78
292281,TXB LTD,14.55
292300,ER DENTAL,13.62
292300,ER HEALTH,21.36
292300,TXB LIFE,0.39
292447,ER DENTAL,13.62
292447,ER HEALTH,21.36
292447,TXB LIFE,0.39
292765,ER DENTAL,13.62
292765,ER HEALTH,21.36
292765,TXB LIFE,0.78
292765,TXB LTD,15.41
292766,ER DENTAL,13.62
292766,ER HEALTH,21.36
292766,TXB LIFE,0.39
292775,ER DENTAL,5.42
292775,ER HEALTH,9.5
292775,TXB LIFE,0.78
292775,TXB LTD,23.09
292838,ER DENTAL,13.62
292838,ER HEALTH,21.36
292838,TXB LIFE,3.92
292838,TXB LTD,29.06
292928,ER DENTAL,5.42
292928,ER HEALTH,9.5
292928,TXB LIFE,0.78
292928,TXB LTD,14.55
293033,ER DENTAL,5.42
293033,ER HEALTH,9.5
293033,TXB LIFE,0.39
293034,ER DENTAL,13.62
293034,ER HEALTH,21.36
293034,TXB LIFE,0.39
293045,ER DENTAL,13.62
293045,ER HEALTH,21.36
293045,TXB LIFE,0.78
293045,TXB LTD,14.34
293153,ER DENTAL,5.42
293153,ER HEALTH,9.5
293153,TXB LIFE,0.78
293153,TXB LTD,16.69
293207,ER DENTAL,5.42
293207,ER HEALTH,9.5
293207,TXB LIFE,0.78
293207,TXB LTD,16.46
322257,ER DENTAL,5.42
322257,ER HEALTH,9.5
322257,TXB LIFE,0.2
326611,ER DENTAL,13.62
326611,ER HEALTH,21.36
326611,TXB LIFE,0.78
326611,TXB LTD,13.69
328539,ER DENTAL,5.42
328539,ER HEALTH,9.5
328539,TXB LIFE,0.39
335574,ER DENTAL,5.42
335574,ER HEALTH,9.5
335574,TXB LIFE,0.39
335580,ER DENTAL,5.42
335580,ER HEALTH,9.5
335580,TXB LIFE,0.78
335580,TXB LTD,17.98
338688,ER DENTAL,13.62
338688,ER HEALTH,21.36
338688,TXB LIFE,3.92
338688,TXB LTD,26.73
347829,ER DENTAL,5.42
347829,ER HEALTH,9.5
347829,TXB LIFE,0.78
347829,TXB LTD,14.55
349272,ER DENTAL,5.42
349272,ER HEALTH,9.5
349272,TXB LIFE,3.92
349272,TXB LTD,25.69
352795,ER DENTAL,5.42
352795,ER HEALTH,9.5
352795,TXB LIFE,0.78
352795,TXB LTD,17.98
353113,ER DENTAL,13.62
353113,ER HEALTH,21.36
353113,TXB LIFE,0.39
357403,ER DENTAL,5.42
357403,ER HEALTH,9.5
357403,TXB LIFE,0.78
357403,TXB LTD,14.72
358418,ER DENTAL,13.62
358418,ER HEALTH,21.36
358418,TXB LIFE,0.39
367017,ER DENTAL,5.42
367017,ER HEALTH,9.5
367017,TXB LIFE,0.78
367017,TXB LTD,14.98
368067,ER DENTAL,13.62
368067,ER HEALTH,21.36
368067,TXB LIFE,3.92
368067,TXB LTD,29.4
370190,ER DENTAL,5.42
370190,ER HEALTH,9.5
370190,TXB LIFE,0.78
370190,TXB LTD,14.34
371706,ER DENTAL,5.42
371706,ER HEALTH,9.5
371706,TXB LIFE,0.78
371706,TXB LTD,15.84
379321,ER DENTAL,5.42
379321,ER HEALTH,9.5
379321,TXB LIFE,0.78
379321,TXB LTD,18.83
379329,ER DENTAL,5.42
379329,ER HEALTH,9.5
379329,TXB LIFE,3.92
379329,TXB LTD,37.04
385497,ER DENTAL,13.62
385497,ER HEALTH,21.36
385497,TXB LIFE,0.78
385497,TXB LTD,24.69
385682,ER DENTAL,5.42
385682,ER HEALTH,9.5
385682,TXB LIFE,0.78
385682,TXB LTD,15.84
386467,ER DENTAL,5.42
386467,ER HEALTH,9.5
386467,TXB LIFE,0.78
386467,TXB LTD,13.69
387794,ER DENTAL,5.42
387794,ER HEALTH,9.5
387794,TXB LIFE,1.96
387794,TXB LTD,13.27
388517,ER DENTAL,5.42
388517,ER HEALTH,9.5
388517,TXB LIFE,0.78
388517,TXB LTD,18.83
388689,ER DENTAL,5.42
388689,ER HEALTH,9.5
388689,TXB LIFE,0.78
388689,TXB LTD,13.48
394208,ER DENTAL,13.62
394208,ER HEALTH,21.36
394208,TXB LIFE,0.39
398858,ER DENTAL,5.42
398858,ER HEALTH,9.5
398858,TXB LIFE,0.78
398858,TXB LTD,13.48
399023,ER DENTAL,13.62
399023,ER HEALTH,21.36
399023,TXB LIFE,0.78
399023,TXB LTD,13.69
400636,ER DENTAL,5.42
400636,ER HEALTH,9.5
400636,TXB LIFE,0.78
400636,TXB LTD,13.48
402411,ER DENTAL,5.42
402411,ER HEALTH,9.5
402411,TXB LIFE,0.78
402411,TXB LTD,13.69
403332,ER DENTAL,5.42
403332,ER HEALTH,9.5
403332,TXB LIFE,0.78
403332,TXB LTD,19.55
403333,ER DENTAL,5.42
403333,ER HEALTH,9.5
403333,TXB LIFE,0.78
403333,TXB LTD,15.41
403362,ER DENTAL,5.42
403362,ER HEALTH,9.5
403362,TXB LIFE,0.78
403362,TXB LTD,16.26
403376,ER DENTAL,5.42
403376,ER HEALTH,9.5
403376,TXB LIFE,3.92
403376,TXB LTD,37.04
403395,ER DENTAL,13.62
403395,ER HEALTH,21.36
403395,TXB LIFE,3.92
403395,TXB LTD,34.98
403399,ER DENTAL,5.42
403399,ER HEALTH,9.5
403399,TXB LIFE,0.39
403534,ER DENTAL,5.42
403534,ER HEALTH,9.5
403534,TXB LIFE,0.78
403534,TXB LTD,15.84
403658,ER DENTAL,5.42
403658,ER HEALTH,9.5
403658,TXB LIFE,3.92
403658,TXB LTD,24.69
403838,ER DENTAL,5.42
403838,ER HEALTH,9.5
403838,TXB LIFE,0.78
403838,TXB LTD,12.84
404720,ER DENTAL,5.42
404720,ER HEALTH,9.5
404720,TXB LIFE,0.78
404720,TXB LTD,13.05
405704,ER DENTAL,5.42
405704,ER HEALTH,9.5
405704,TXB LIFE,1.96
405704,TXB LTD,14.98
408307,ER DENTAL,5.42
408307,ER HEALTH,9.5
408307,TXB LIFE,0.78
408307,TXB LTD,13.48
411224,ER DENTAL,5.42
411224,ER HEALTH,9.5
411224,TXB LIFE,0.78
411224,TXB LTD,14.55
411760,ER DENTAL,5.42
411760,ER HEALTH,9.5
411760,TXB LIFE,0.39
411988,ER DENTAL,5.42
411988,ER HEALTH,9.5
411988,TXB LIFE,0.39
414431,ER DENTAL,5.42
414431,ER HEALTH,9.5
414431,TXB LIFE,0.39
415083,ER DENTAL,5.42
415083,ER HEALTH,9.5
415083,TXB LIFE,0.78
415083,TXB LTD,15.41
415477,ER DENTAL,5.42
415477,ER HEALTH,9.5
415477,TXB LIFE,0.39
417405,ER DENTAL,5.42
417405,ER HEALTH,9.5
417405,TXB LIFE,0.39
417513,ER DENTAL,5.42
417513,ER HEALTH,9.5
417513,TXB LIFE,0.2
418641,ER DENTAL,5.42
418641,ER HEALTH,9.5
418641,TXB LIFE,0.78
418641,TXB LTD,13.48
419333,ER DENTAL,5.42
419333,ER HEALTH,9.5
419333,TXB LIFE,0.39
419621,ER DENTAL,13.62
419621,ER HEALTH,21.36
419621,TXB LIFE,3.92
419621,TXB LTD,23.46
420082,ER DENTAL,13.62
420082,ER HEALTH,21.36
420082,TXB LIFE,0.39
424548,ER DENTAL,5.42
424548,ER HEALTH,9.5
424548,TXB LIFE,0.39
424548,TXB LTD,12.41
429405,ER DENTAL,5.42
429405,ER HEALTH,9.5
429405,TXB LIFE,0.78
429405,TXB LTD,14.98
430225,ER DENTAL,5.42
430225,ER HEALTH,9.5
430225,TXB LIFE,3.92
430225,TXB LTD,19.75
430404,ER DENTAL,5.42
430404,ER HEALTH,9.5
430404,TXB LIFE,0.39
430600,ER DENTAL,5.42
430600,ER HEALTH,9.5
430600,TXB LIFE,0.78
430600,TXB LTD,18.41
430957,ER DENTAL,5.42
430957,ER HEALTH,9.5
430957,TXB LIFE,0.39
434724,ER DENTAL,13.62
434724,ER HEALTH,21.36
