Employee_number,company_plan_type,Rate
290891,EE AD&D,2.31
290891,D ER Sales Tax,1.09
290891,D Sales Tax,1.4
290891,EE DENTAL,17.5
290891,EE HEALTH,27
290891,H ER Sales Tax,1.71
290891,H Sales Tax,2.16
290902,EE AD&D,2.31
290902,EE DENTAL,17.5
290902,EE HEALTH,27
290972,EE AD&D,0.46
290972,EE DENTAL,7.5
290972,EE HEALTH,12
291112,EE AD&D,0.46
291112,D ER Sales Tax,0.43
291112,D Sales Tax,0.6
291112,EE DENTAL,7.5
291112,EE HEALTH,12
291112,H ER Sales Tax,0.76
291112,H Sales Tax,0.96
291312,EE AD&D,2.31
291312,D ER Sales Tax,1.09
291312,D Sales Tax,1.4
291312,EE DENTAL,17.5
291312,EE HEALTH,27
291312,H ER Sales Tax,1.71
291312,H Sales Tax,2.16
291516,EE AD&D,0.46
291516,EE DENTAL,7.5
291516,EE HEALTH,12
291647,EE AD&D,0.23
291647,D ER Sales Tax,0.43
291647,D Sales Tax,0.6
291647,EE DENTAL,7.5
291647,EE HEALTH,12
291647,H ER Sales Tax,0.76
291647,H Sales Tax,0.96
291665,EE AD&D,0.23
291665,D ER Sales Tax,1.09
291665,D Sales Tax,1.4
291665,EE DENTAL,17.5
291665,EE HEALTH,27
291665,H ER Sales Tax,1.71
291665,H Sales Tax,2.16
291871,EE AD&D,2.31
291871,D ER Sales Tax,1.23
291871,D Sales Tax,1.58
291871,EE DENTAL,17.5
291871,EE HEALTH,27
291871,H ER Sales Tax,1.92
291871,H Sales Tax,2.43
291958,EE AD&D,0.46
291958,D ER Sales Tax,1.23
291958,D Sales Tax,1.58
291958,EE DENTAL,17.5
291958,EE HEALTH,27
291958,H ER Sales Tax,1.92
291958,H Sales Tax,2.43
292139,EE AD&D,0.46
292139,D ER Sales Tax,0.43
292139,D Sales Tax,0.6
292139,EE DENTAL,7.5
292139,EE HEALTH,12
292139,H ER Sales Tax,0.76
292139,H Sales Tax,0.96
292281,EE AD&D,0.46
292281,D ER Sales Tax,1.09
292281,D Sales Tax,1.4
292281,EE DENTAL,17.5
292281,EE HEALTH,27
292281,H ER Sales Tax,1.71
292281,H Sales Tax,2.16
292300,EE AD&D,0.23
292300,D ER Sales Tax,1.09
292300,D Sales Tax,1.4
292300,EE DENTAL,17.5
292300,EE HEALTH,27
292300,H ER Sales Tax,1.71
292300,H Sales Tax,2.16
292447,EE AD&D,0.23
292447,D ER Sales Tax,1.09
292447,D Sales Tax,1.4
292447,EE DENTAL,17.5
292447,EE HEALTH,27
292447,H ER Sales Tax,1.71
292447,H Sales Tax,2.16
292765,EE AD&D,0.46
292765,D ER Sales Tax,1.23
292765,D Sales Tax,1.58
292765,EE DENTAL,17.5
292765,EE HEALTH,27
292765,H ER Sales Tax,1.92
292765,H Sales Tax,2.43
292766,EE AD&D,0.23
292766,D ER Sales Tax,1.09
